Name,Location,Address,Contact,Website,Rating,Reviews,Source
Chef Lonnie | Private Chef NYC,"New York, USA","119 Brooklyn Ave, Brooklyn, NY 11213, United States",N/A,N/A,4.8,50,Google Places
Private Chef NY - Yllan Laloum,"New York, USA","22 N 6th St, Brooklyn, NY 11249, United States",N/A,N/A,4.9,43,Google Places
dineDK Private Dining,"New York, USA","169 Madison Ave Suite 2505, New York, NY 10016, United States",N/A,N/A,5,34,Google Places
Private Chefs Inc.,"New York, USA","954 Lexington Ave Suite 129, New York, NY 10021, United States",N/A,N/A,5,13,Google Places
"Chef David Feldman, Personal Chef & Caterer | NY | NJ | CT","New York, USA","75 West End Ave, New York, NY 10023, United States",N/A,N/A,5,37,Google Places
Private Chef NYC | JP Fine Foods LLC | Cocktail Catering NYC,"New York, USA","315 E 72nd St 10th fl, New York, NY 10021, United States",N/A,N/A,5,98,Google Places
kymi kitchen,"New York, USA","800 3rd Ave Ste. 1366, New York, NY 10022, United States",N/A,N/A,5,17,Google Places
Chef Omakase,"New York, USA","641 5th Ave, New York, NY 10022, United States",N/A,N/A,5,29,Google Places
Private Chef Matthew Alexander,"New York, USA","1656 Sumner Ave, Merrick, NY 11566, United States",N/A,N/A,4.9,269,Google Places
Michael Patlazhan,"New York, USA","['New York, NY 10022']",+13474466571,https://www.yelp.com/biz/michael-patlazhan-new-york?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,5.0,45,Yelp
Chef Aless,"New York, USA","['5590 Merrick Rd', 'New York, NY 10029']",+19178865119,https://www.yelp.com/biz/chef-aless-new-york-4?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,5.0,43,Yelp
Nostalgique,"New York, USA","['383 Bridge St', 'Brooklyn, NY 11201']",+16317640972,https://www.yelp.com/biz/nostalgique-brooklyn-4?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,5.0,13,Yelp
The Private Kitchen,"New York, USA","['Leonia, NJ 07605']",+12012402989,https://www.yelp.com/biz/the-private-kitchen-leonia?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,5.0,8,Yelp
Lena Goldin NY,"New York, USA","['Brooklyn, NY 11201']",+16462203936,https://www.yelp.com/biz/lena-goldin-ny-brooklyn-3?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,5.0,18,Yelp
Tomokase,"New York, USA","['131 Ave A', 'New York, NY 10009']",+16463979693,https://www.yelp.com/biz/tomokase-new-york?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,5.0,23,Yelp
Farm to kitchen PDR,"New York, USA","['Short Hills, NJ 07078']",+19735709434,https://www.yelp.com/biz/farm-to-kitchen-pdr-short-hills?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,5.0,13,Yelp
Olivia Cooks For You,"New York, USA","['Brooklyn, NY 11215']",+13479011735,https://www.yelp.com/biz/olivia-cooks-for-you-brooklyn?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,5.0,15,Yelp
Night Kitchen Catering,"New York, USA","['Brooklyn, NY 11206']",+16468289214,https://www.yelp.com/biz/night-kitchen-catering-brooklyn?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,5.0,98,Yelp
Diego a la carta,"New York, USA","['New York, NY 10044']",,https://www.yelp.com/biz/diego-a-la-carta-new-york-2?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,5.0,6,Yelp
Chef Lance - Prestige Chef Services,"New York, USA","['Shirley, NY 11967']",+16316823837,https://www.yelp.com/biz/chef-lance-prestige-chef-services-shirley?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,4.8,33,Yelp
Nettle Kitchen,"New York, USA","['43-46 10th St', 'New York, NY 11101']",+15485099187,https://www.yelp.com/biz/nettle-kitchen-new-york-2?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,5.0,1,Yelp
Jason's Kitchen,"New York, USA","['New York, NY 10023']",+19176560456,https://www.yelp.com/biz/jasons-kitchen-new-york?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,5.0,25,Yelp
Cozymeal,"New York, USA","['136 Madison Ave', 'New York, NY 10016']",+19179795661,https://www.yelp.com/biz/cozymeal-new-york-5?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,4.7,77,Yelp
Chef Ts Kitchen,"New York, USA","['New York, NY 10001']",+15165036620,https://www.yelp.com/biz/chef-ts-kitchen-new-york?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,0.0,0,Yelp
Chef Naomi Santos,"New York, USA","['Brooklyn, NY 11217']",,https://www.yelp.com/biz/chef-naomi-santos-brooklyn?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,5.0,1,Yelp
Chefsebny,"New York, USA","['Hamptons, NY 11358']",+19087239570,https://www.yelp.com/biz/chefsebny-hamptons?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,5.0,23,Yelp
Boutique BK,"New York, USA","['Brooklyn, NY 11217']",+13477862643,https://www.yelp.com/biz/boutique-bk-brooklyn-2?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,4.9,29,Yelp
Chef Renee Blackman,"New York, USA","['Brooklyn, NY 11215']",+13475137337,https://www.yelp.com/biz/chef-renee-blackman-brooklyn?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,4.6,7,Yelp
Lex Taylor,"New York, USA","['Ossining, NY 10562']",+16462805616,https://www.yelp.com/biz/lex-taylor-ossining?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,5.0,3,Yelp
Chef Jesa Henneberry,"New York, USA","['Florham Park, NJ 07932']",+19179395794,https://www.yelp.com/biz/chef-jesa-henneberry-florham-park?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,5.0,2,Yelp
Passionate Chef,"New York, USA","['10 Netcong Heights', 'Netcong, NJ 07857']",+19738678685,https://www.yelp.com/biz/passionate-chef-netcong?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,4.6,17,Yelp
Fancy Girl Table,"New York, USA","['294 3rd Ave', 'Brooklyn, NY 11215']",+17182169297,https://www.yelp.com/biz/fancy-girl-table-brooklyn?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,4.5,10,Yelp
Cuisine Inspirations,"New York, USA","['Mount Olive, NJ 07840']",+19732196954,https://www.yelp.com/biz/cuisine-inspirations-mount-olive-2?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,5.0,16,Yelp
CateredxCarter,"New York, USA","['New York, NY 10002']",+19178158673,https://www.yelp.com/biz/cateredxcarter-new-york-3?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,0.0,0,Yelp
BK Chef,"New York, USA","['Brooklyn, NY 11201']",+14133702607,https://www.yelp.com/biz/bk-chef-brooklyn?adjust_creative=7qIzSFJ1mzupQXIcR8dzSw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7qIzSFJ1mzupQXIcR8dzSw,4.9,19,Yelp
